Domain Code,Domain,Area_Code_(FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2012","2012","hg/ha","76519","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2014","2014","hg/ha","73000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2016","2016","hg/ha","72762","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2018","2018","hg/ha","76527","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2020","2020","hg/ha","105626","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2000","2000","tonnes","40540","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2002","2002","tonnes","35630","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2004","2004","tonnes","16692","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2006","2006","tonnes","52500","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2008","2008","tonnes","56061","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2010","2010","tonnes","59850","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2012","2012","tonnes","70000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2014","2014","tonnes","89403","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2016","2016","tonnes","140903","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2018","2018","tonnes","217192","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2020","2020","tonnes","270857","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2000","2000","ha","5754","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2002","2002","ha","6272","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2004","2004","ha","5200","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2006","2006","ha","8030","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2008","2008","ha","8000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2010","2010","ha","8320","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2012","2012","ha","8350","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2014","2014","ha","9005","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2016","2016","ha","8595","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2018","2018","ha","18510","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2020","2020","ha","17481","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2000","2000","hg/ha","74453","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2002","2002","hg/ha","72956","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2004","2004","hg/ha","70846","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2006","2006","hg/ha","62267","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2008","2008","hg/ha","74449","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2010","2010","hg/ha","80000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2012","2012","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2014","2014","hg/ha","99944","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2016","2016","hg/ha","20819","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2018","2018","hg/ha","58934","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2020","2020","hg/ha","75389","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2000","2000","tonnes","42840","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2002","2002","tonnes","45758","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2004","2004","tonnes","36840","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2006","2006","tonnes","50000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2008","2008","tonnes","59559","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2010","2010","tonnes","66560","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2012","2012","tonnes","83500","","Official data"
